QUESTIONS,A,B,C,D,ANSWERS
Which of these countries borders the Mediterranean Sea?,Andorra,Croatia,Germany,Saudi Arabia,Croatia
Which of these mountains is located in the United States?,Annapurna,Mont Blanc,Mount Etna,Mount Rainier,Mount Rainier
Which of these seas borders Italy?,Adriatic Sea,Black Sea,Caspian Sea,Red Sea,Adriatic Sea
"The Grand Canyon, a natural wonder carved by the Colorado River is located in which US state?",Arizona,California,Colorado,Nevada,Arizona
"The Nile, which is one of the longest rivers in the world, has its source in which African country?",Egypt,Ethiopia,Sudan,Algeria,Ethiopia
Where is the Great Victoria Desert located?,Austrailia,Canada,West Africa,North America,Austrailia
Which is the smallest country in the world?,Andorra,Luxembourg,Belgium,Vatican City,Vatican City
Which is the longest river in Asia?,The Nile River,The Yangtze River,Amazon River,Yellow River,The Yangtze River
Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Malaysia,Japan
What is the capital of Greece?,Athens,Dublin,Helsinki,Lisbon,Athens
What is the tallest waterfall in the world?,Niagara Falls,Angel Falls,Victoria Falls,Tugela Falls,Angel Falls
Which river crosses the Equator twice?,The Congo River,The Yangtze River,The Nile River,Yellow River,The Congo River
